"triad_id";"llm_id";"question_id";"subject";"predicate";"object";"rdf_candidate";"source_id";"source_location";"evidence_text";"evidence_type";"confidence";"expert_validation_required";"candidate_status";"notes"
"LLM_3_ALC_03_001";"LLM_3";"ALC_03";"BioLectorXT";"rdf:type";"Microbioreactor";"  :BioLectorXT rdf:type :Microbioreactor .";"SRC-001; SRC-011";"SRC-001: Descripción de producto; SRC-011: Abstract";"the fiber-optic online-monitoring system BioLector which utilizes the wells of shaken microtiter plates (MTPs) as small-scale fermenters";"Explícita";"Alta";"No";"CANDIDATE";"NOT_SPECIFIED_IN_PREVIOUS_OUTPUT"
"LLM_3_ALC_03_002";"LLM_3";"ALC_03";"SartoriusBiostatB5L";"rdf:type";"StirredTankBioreactor";"  :SartoriusBiostatB5L rdf:type :StirredTankBioreactor .";"SRC-004; SRC-009";"SRC-004: Especificaciones técnicas; SRC-009: Principios de escalado";"Sartorius bioreactors have a classic stirred tank design with a top stirred center shaft";"Explícita";"Alta";"No";"CANDIDATE";"NOT_SPECIFIED_IN_PREVIOUS_OUTPUT"
"LLM_3_ALC_03_003";"LLM_3";"ALC_03";"SartoriusBiostatB10L";"rdf:type";"StirredTankBioreactor";"  :SartoriusBiostatB10L rdf:type :StirredTankBioreactor .";"SRC-004; SRC-009";"SRC-004: Especificaciones técnicas; SRC-009: Principios de escalado";"Sartorius bioreactors have a classic stirred tank design with a top stirred center shaft";"Explícita";"Alta";"No";"CANDIDATE";"NOT_SPECIFIED_IN_PREVIOUS_OUTPUT"
"LLM_3_ALC_03_004";"LLM_3";"ALC_03";"Microbioreactor";"rdfs:subClassOf";"BioprocessSystem";"  :Microbioreactor rdfs:subClassOf :BioprocessSystem .";"SRC-001; SRC-011";"SRC-001: Descripción de producto; SRC-011: Abstract";"high-throughput microbioreactor enables real-time evaluation of biomass, fluorescence, pH, dissolved oxygen";"Inferida";"Media";"No";"CANDIDATE";"Inferida de la estructura conceptual del dominio; no declarada explícitamente en el corpus"
"LLM_3_ALC_03_005";"LLM_3";"ALC_03";"StirredTankBioreactor";"rdfs:subClassOf";"BioprocessSystem";"  :StirredTankBioreactor rdfs:subClassOf :BioprocessSystem .";"SRC-003; SRC-009";"SRC-003: Características principales; SRC-009: Principios de escalado";"Bioreactor geometric similarity is the foundation to simplifying bioreactor scaling";"Inferida";"Media";"No";"CANDIDATE";"Inferida de la estructura conceptual del dominio; no declarada explícitamente en el corpus"
"LLM_3_ALC_03_006";"LLM_3";"ALC_03";"BioLectorXT";"usesCultureVessel";"MicrotiterPlate_48well_ANSI_SLAS";"  :BioLectorXT :usesCultureVessel :MicrotiterPlate_48well_ANSI_SLAS .";"SRC-001";"SRC-001: Descripción de producto";"the BioLector XT microbioreactor is based on a standard ANSI/SLAS (SBS) microtiter plate (MTP) format… Disposable 48 well MTPs enable online measurement";"Explícita";"Alta";"No";"CANDIDATE";"NOT_SPECIFIED_IN_PREVIOUS_OUTPUT"
"LLM_3_ALC_03_007";"LLM_3";"ALC_03";"BioLectorXT";"hasSensorType";"OpticalSensor";"  :BioLectorXT :hasSensorType :OpticalSensor .";"SRC-001";"SRC-001: Descripción de producto";"operates with online, pre-calibrated optical sensors";"Explícita";"Alta";"No";"CANDIDATE";"NOT_SPECIFIED_IN_PREVIOUS_OUTPUT"
"LLM_3_ALC_03_008";"LLM_3";"ALC_03";"BioLectorXT";"supportsParallelCultures";"\"48\"";"  :BioLectorXT :supportsParallelCultures \"48\" .";"SRC-001";"SRC-001: Descripción de producto";"Disposable 48 well MTPs enable online measurement of cultivation parameters";"Explícita";"Alta";"No";"CANDIDATE";"NOT_SPECIFIED_IN_PREVIOUS_OUTPUT"
"LLM_3_ALC_03_009";"LLM_3";"ALC_03";"BioLectorXT";"usesAgitationPrinciple";"OrbitalShaking";"  :BioLectorXT :usesAgitationPrinciple :OrbitalShaking .";"SRC-010; SRC-008";"SRC-010: Materiales y métodos; SRC-008: Métodos";"All cultivations were performed at a shaking speed of 1400 rpm";"Explícita";"Alta";"No";"CANDIDATE";"NOT_SPECIFIED_IN_PREVIOUS_OUTPUT"
"LLM_3_ALC_03_010";"LLM_3";"ALC_03";"BioLectorXT";"functionsAs";"HighThroughputScreening";"  :BioLectorXT :functionsAs :HighThroughputScreening .";"SRC-002; SRC-011";"SRC-002: Cuerpo del comunicado; SRC-011: Abstract y conclusiones";"enables high-throughput strain screenings, cultivation parameter monitoring, and feeding strategy optimization";"Explícita";"Alta";"No";"CANDIDATE";"NOT_SPECIFIED_IN_PREVIOUS_OUTPUT"
"LLM_3_ALC_03_011";"LLM_3";"ALC_03";"BioLectorXT";"hasO2GassingRange";"\"1-100%\"";"  :BioLectorXT :hasO2GassingRange \"1-100%\"";"SRC-002";"SRC-002: Características adicionales";"Gassing with O2 within a range of 1% – 100%";"Explícita";"Alta";"No";"CANDIDATE";"NOT_SPECIFIED_IN_PREVIOUS_OUTPUT"
"LLM_3_ALC_03_012";"LLM_3";"ALC_03";"BioLectorXT";"hasCO2GassingRange";"\"1-12%\"";"  :BioLectorXT :hasCO2GassingRange \"1-12%\"";"SRC-002";"SRC-002: Características adicionales";"and with CO2 within 1% – 12%";"Explícita";"Alta";"No";"CANDIDATE";"NOT_SPECIFIED_IN_PREVIOUS_OUTPUT"
"LLM_3_ALC_03_013";"LLM_3";"ALC_03";"BioLectorXT";"supportsProcessMode";"AnaerobicFedBatch";"  :BioLectorXT :supportsProcessMode :AnaerobicFedBatch .";"SRC-002";"SRC-002: Características adicionales";"Enables fed-batch experiments under anaerobic conditions";"Explícita";"Alta";"No";"CANDIDATE";"NOT_SPECIFIED_IN_PREVIOUS_OUTPUT"
