"triad_id";"llm_id";"question_id";"subject";"predicate";"object";"rdf_candidate";"source_id";"source_location";"evidence_text";"evidence_type";"confidence";"expert_validation_required";"candidate_status";"notes"
"LLM_2_ALC-06_001";"LLM_2";"ALC-06";"BioreactorSystem";"hasConstructionMaterial";"ConstructionMaterial";":BioreactorSystem :hasConstructionMaterial :ConstructionMaterial .";"SRC-006";"L239-L246";"“material of construction”, “mechanism of mixing”, “working volume” y “overall purpose”.";"Inferida";"Media";"Sí";"CANDIDATE";"NOT_SPECIFIED_IN_PREVIOUS_OUTPUT"
"LLM_2_ALC-06_002";"LLM_2";"ALC-06";"BioreactorSystem";"usesMixingMechanism";"MixingMechanism";":BioreactorSystem :usesMixingMechanism :MixingMechanism .";"SRC-006";"L239-L246";"“material of construction”, “mechanism of mixing”, “working volume” y “overall purpose”.";"Inferida";"Media";"Sí";"CANDIDATE";"NOT_SPECIFIED_IN_PREVIOUS_OUTPUT"
"LLM_2_ALC-06_003";"LLM_2";"ALC-06";"BioreactorSystem";"hasWorkingVolume";"WorkingVolume";":BioreactorSystem :hasWorkingVolume :WorkingVolume .";"SRC-005; SRC-006";"L2-L13; L239-L246";"“The Univessel® Glass is our platform cultivation vessel for all Biostat® benchtop bioreactors. It is available in 1 L, 2 L, 5 L and 10 L working volume”. | “material of construction”, “mechanism of mixing”, “working volume” y “overall purpose”.";"Inferida";"Media";"Sí";"CANDIDATE";"NOT_SPECIFIED_IN_PREVIOUS_OUTPUT"
"LLM_2_ALC-06_004";"LLM_2";"ALC-06";"BioreactorSystem";"hasOverallPurpose";"OverallPurpose";":BioreactorSystem :hasOverallPurpose :OverallPurpose .";"SRC-006";"L239-L246";"“material of construction”, “mechanism of mixing”, “working volume” y “overall purpose”.";"Inferida";"Media";"Sí";"CANDIDATE";"NOT_SPECIFIED_IN_PREVIOUS_OUTPUT"
"LLM_2_ALC-06_005";"LLM_2";"ALC-06";"BioLectorXT";"measures";"Biomass";":BioLectorXT :measures :Biomass .";"SRC-001";"L436-L438";"“The high-throughput microbioreactor enables real-time evaluation of biomass, fluorescence, pH, dissolved oxygen in the liquid phase (DO)”.";"Explícita";"Alta";"No";"CANDIDATE";"NOT_SPECIFIED_IN_PREVIOUS_OUTPUT"
"LLM_2_ALC-06_006";"LLM_2";"ALC-06";"BioLectorXT";"measures";"Fluorescence";":BioLectorXT :measures :Fluorescence .";"SRC-001";"L436-L438";"“The high-throughput microbioreactor enables real-time evaluation of biomass, fluorescence, pH, dissolved oxygen in the liquid phase (DO)”.";"Explícita";"Alta";"No";"CANDIDATE";"NOT_SPECIFIED_IN_PREVIOUS_OUTPUT"
"LLM_2_ALC-06_007";"LLM_2";"ALC-06";"BioLectorXT";"measures";"pH";":BioLectorXT :measures :pH .";"SRC-001";"L436-L438";"“The high-throughput microbioreactor enables real-time evaluation of biomass, fluorescence, pH, dissolved oxygen in the liquid phase (DO)”.";"Explícita";"Alta";"No";"CANDIDATE";"NOT_SPECIFIED_IN_PREVIOUS_OUTPUT"
"LLM_2_ALC-06_008";"LLM_2";"ALC-06";"BioLectorXT";"measures";"DissolvedOxygen";":BioLectorXT :measures :DissolvedOxygen .";"SRC-001";"L436-L438";"“The high-throughput microbioreactor enables real-time evaluation of biomass, fluorescence, pH, dissolved oxygen in the liquid phase (DO)”.";"Explícita";"Alta";"No";"CANDIDATE";"NOT_SPECIFIED_IN_PREVIOUS_OUTPUT"
"LLM_2_ALC-06_009";"LLM_2";"ALC-06";"BioLectorXT";"hasCultivationCondition";"CultivationCondition";":BioLectorXT :hasCultivationCondition :CultivationCondition .";"SRC-002";"L413-L473 y L517-L557";"“Microfluidic Bioprocess Control. Cultivation conditions, system dimensions, Gassing lid dimensions, Microfluidic features and more”.";"Inferida";"Media";"Sí";"CANDIDATE";"NOT_SPECIFIED_IN_PREVIOUS_OUTPUT"
"LLM_2_ALC-06_010";"LLM_2";"ALC-06";"BioLectorXT";"hasSystemDimension";"SystemDimension";":BioLectorXT :hasSystemDimension :SystemDimension .";"SRC-002";"L413-L473 y L517-L557";"“Microfluidic Bioprocess Control. Cultivation conditions, system dimensions, Gassing lid dimensions, Microfluidic features and more”.";"Inferida";"Media";"Sí";"CANDIDATE";"NOT_SPECIFIED_IN_PREVIOUS_OUTPUT"
"LLM_2_ALC-06_011";"LLM_2";"ALC-06";"BiostatB";"rdf:type";"BenchtopBioreactorController";":BiostatB rdf:type :BenchtopBioreactorController .";"SRC-003";"L155-L163 y L226-L257";"“El Sartorius Biostat® B es un controlador de sobremesa universal flexible y satisface diferentes demandas, desde la fermentación microbiana hasta el cultivo celular”.";"Explícita";"Alta";"No";"CANDIDATE";"NOT_SPECIFIED_IN_PREVIOUS_OUTPUT"
