"triad_id";"llm_id";"question_id";"subject";"predicate";"object";"rdf_candidate";"source_id";"source_location";"evidence_text";"evidence_type";"confidence";"expert_validation_required";"candidate_status";"notes"
"LLM_1_ALC_02_001";"LLM_1";"ALC_02";"Bioreactor";"rdf:type";"Apparatus";":Bioreactor rdf:type :Apparatus .";"SRC-001";"definición";"An apparatus used to carry out any kind of bioprocess; examples include fermenter or enzyme reactor.";"explícita";"alta";"no";"CANDIDATE";"NOT_SPECIFIED_IN_PREVIOUS_OUTPUT"
"LLM_1_ALC_02_002";"LLM_1";"ALC_02";"Bioreactor";"provides";"ControlledEnvironment";":Bioreactor :provides :ControlledEnvironment .";"SRC-002";"7.1.1";"provide a controlled environment for optimal cell growth or product synthesis";"explícita";"alta";"no";"CANDIDATE";"NOT_SPECIFIED_IN_PREVIOUS_OUTPUT"
"LLM_1_ALC_02_003";"LLM_1";"ALC_02";"Bioreactor";"hasPurpose";"SuitableAndRegulatedEnvironment";":Bioreactor :hasPurpose :SuitableAndRegulatedEnvironment .";"SRC-003";"7.1.2";"provide a suitable and regulated environment";"explícita";"alta";"no";"CANDIDATE";"NOT_SPECIFIED_IN_PREVIOUS_OUTPUT"
"LLM_1_ALC_02_004";"LLM_1";"ALC_02";"Bioreactor";"monitorsOrControls";"ProcessParameter";":Bioreactor :monitorsOrControls :ProcessParameter .";"SRC-004";"7.1.2";"Easy to monitor and/or control reaction parameters (such as dissolved oxygen concentration, pH, temperature, agitation rate, redox value, and so on)";"explícita";"alta";"sí";"CANDIDATE";"NOT_SPECIFIED_IN_PREVIOUS_OUTPUT"
"LLM_1_ALC_02_005";"LLM_1";"ALC_02";"Bioreactor";"controls";"DissolvedOxygen";":Bioreactor :controls :DissolvedOxygen .";"SRC-005";"Introducción";"Dissolved oxygen concentration, pH, temperature, mixing, and supplementation of nutrients all need to be controlled and optimized";"explícita";"alta";"sí";"CANDIDATE";"NOT_SPECIFIED_IN_PREVIOUS_OUTPUT"
"LLM_1_ALC_02_006";"LLM_1";"ALC_02";"Bioreactor";"operatesUnder";"TightlyControlledConditions";":Bioreactor :operatesUnder :TightlyControlledConditions .";"SRC-006";"definición";"under tightly controlled conditions";"explícita";"alta";"no";"CANDIDATE";"NOT_SPECIFIED_IN_PREVIOUS_OUTPUT"
"LLM_1_ALC_02_007";"LLM_1";"ALC_02";"Bioreactor";"hasComponent";"Sensor";":Bioreactor :hasComponent :Sensor .";"SRC-007";"componentes";"Sensors: These monitor key process parameters, including pH, dissolved oxygen and temperature continuously in real-time";"explícita";"alta";"no";"CANDIDATE";"NOT_SPECIFIED_IN_PREVIOUS_OUTPUT"
"LLM_1_ALC_02_008";"LLM_1";"ALC_02";"Bioreactor";"hasComponent";"ControlSoftware";":Bioreactor :hasComponent :ControlSoftware .";"SRC-008";"componentes";"Control software... calculates the adjustments... to maintain parameter levels within their specified setpoint";"explícita";"alta";"no";"CANDIDATE";"NOT_SPECIFIED_IN_PREVIOUS_OUTPUT"
"LLM_1_ALC_02_009";"LLM_1";"ALC_02";"Bioreactor";"hasComponent";"Actuator";":Bioreactor :hasComponent :Actuator .";"SRC-009";"componentes";"Actuators... pumps, valves, or motors, that adjust the parameter back to its specified setpoint";"explícita";"alta";"no";"CANDIDATE";"NOT_SPECIFIED_IN_PREVIOUS_OUTPUT"
"LLM_1_ALC_02_010";"LLM_1";"ALC_02";"BioLectorXT";"hasSensor";"OxygenOptode";":BioLectorXT :hasSensor :OxygenOptode .";"SRC-010";"NOT_SPECIFIED_IN_PREVIOUS_OUTPUT";"OXYGEN OPTODES 0 – 100 % dissolved oxygen";"explícita";"alta";"no";"CANDIDATE";"NOT_SPECIFIED_IN_PREVIOUS_OUTPUT"
"LLM_1_ALC_02_011";"LLM_1";"ALC_02";"BioLectorXT";"implements";"ClosedLoopController";":BioLectorXT :implements :ClosedLoopController .";"SRC-012";"NOT_SPECIFIED_IN_PREVIOUS_OUTPUT";"TRIGGERED pH CONTROL (CLOSED LOOP CONTROLLER)";"explícita";"alta";"no";"CANDIDATE";"NOT_SPECIFIED_IN_PREVIOUS_OUTPUT"
"LLM_1_ALC_02_012";"LLM_1";"ALC_02";"SartoriusBiostat";"provides";"ControlledAndReproducibleConditions";":SartoriusBiostat :provides :ControlledAndReproducibleConditions .";"SRC-013";"Intended Use";"under controlled and reproducible conditions";"explícita";"alta";"no";"CANDIDATE";"NOT_SPECIFIED_IN_PREVIOUS_OUTPUT"
